threat,village,present
Human-wildlife conflicts,Eleng'ata Dapash,0
Human-wildlife conflicts,Losirwa,1
Human-wildlife conflicts,Nadonjukin,1
Human-wildlife conflicts,Sangaiwe,1
Human-wildlife conflicts,Kimana,1
Human-wildlife conflicts,Ngoswaki,1
Human-wildlife conflicts,Matale A,1
Human-wildlife conflicts,Engaruka Chini,1
Human-wildlife conflicts,Kitwai A,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Kakoi,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Katikati,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Olchoro Onyokie,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Eleng'ata Dapash,0
"Human activities (farming, settlements, mining of minerals[MS1] )",Losirwa,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Nadonjukin,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Sangaiwe,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Kimana,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Ngoswaki,0
"Human activities (farming, settlements, mining of minerals[MS1] )",Matale A,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Engaruka Chini,1
"Human activities (farming, settlements, mining of minerals[MS1] )",Kitwai A,1
Population growth (humans and livestock),Kakoi,0
Population growth (humans and livestock),Katikati,0
Population growth (humans and livestock),Olchoro Onyokie,0
Population growth (humans and livestock),Eleng'ata Dapash,1
Population growth (humans and livestock),Losirwa,0
Population growth (humans and livestock),Nadonjukin,0
Population growth (humans and livestock),Sangaiwe,1
Population growth (humans and livestock),Kimana,0
Population growth (humans and livestock),Ngoswaki,0
Population growth (humans and livestock),Matale A,0
Population growth (humans and livestock),Engaruka Chini,0
Population growth (humans and livestock),Kitwai A,0
Poor management/leaderships,Kakoi,0
Poor management/leaderships,Katikati,1
Poor management/leaderships,Olchoro Onyokie,1
Poor management/leaderships,Eleng'ata Dapash,1
Poor management/leaderships,Losirwa,0
Poor management/leaderships,Nadonjukin,1
Poor management/leaderships,Sangaiwe,1
Poor management/leaderships,Kimana,1
Poor management/leaderships,Ngoswaki,0
Poor management/leaderships,Matale A,0
Poor management/leaderships,Engaruka Chini,0
Poor management/leaderships,Kitwai A,0
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Kakoi,0
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Katikati,0
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Olchoro Onyokie,1
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Eleng'ata Dapash,1
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Losirwa,0
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Nadonjukin,1
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Sangaiwe,1
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Kimana,1
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Ngoswaki,1
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Matale A,0
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Engaruka Chini,0
"Overexploitation (tree cutting, overgrazing, charcoal burning)",Kitwai A,1
Immigration of livestock/people,Kakoi,0
Immigration of livestock/people,Katikati,0
Immigration of livestock/people,Olchoro Onyokie,0
Immigration of livestock/people,Eleng'ata Dapash,0
Immigration of livestock/people,Losirwa,0
Immigration of livestock/people,Nadonjukin,0
Immigration of livestock/people,Sangaiwe,0
Immigration of livestock/people,Kimana,0
Immigration of livestock/people,Ngoswaki,0
Immigration of livestock/people,Matale A,0
Immigration of livestock/people,Engaruka Chini,0
Immigration of livestock/people,Kitwai A,1
