village,code,val_binary,comment,code.groups
Eleng'ata Dapash,1 1 2 3 1 ethnic composition maasai in 2015,0,select discussion statements indicating % of maasai ethnic groups in 2015,"1.1 demographic trends
1.1.2 ethnic composition
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 2 3 2 ethnic composition non maasai in 2015,0,select discussion statements indicating % of non-maasai ethnic groups in 2015,"1.1 demographic trends
1.1.2 ethnic composition
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 3 1 livelihoods farming,1,statements indicating % of households engaged in farming,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 3 2 livelihoods livestock keeping,1,statements indicating % of households engaged in livestock keeping,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 3 3 livelihoods entrepreneurship,0,statements indicating % of households engaged in small or large businesses,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 3 4 livelihoods other livelihoods,0,statements indicating % of households engaged in other livelihoods not specified,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 4 1 livelihood changes 5 years ago,0,statements indicating changes in livelihoods 5 years ago,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 4 2 livelihood changes 5 years ago,1,statements indicating changes in livelihoods more than 5 years ago,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 4 3 livelihood changes don t know,0,statements indicating participants don't know when changes in livelihoods took place,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 4 4 livelihood changes no,0,statements indicating there have not been any changes in livelihoods,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 5 1 livelihood changes cause climate change,1,statements indicating changes in livelihoods have been caused by climate changes,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 5 2 livelihood changes cause invasive spp,0,statements indicating changes in livelihoods have been caused by invasive species,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 6 1 livelihood changes ethnic diff yes,0,statements indicating changes in livelihoods differ between ethnic groups found in the village.,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,1 1 6 2 livelihood changes ethnic diff no,0,statements indicating changes in livelihoods do not differ between ethnic groups found in the village.,"1.1 demographic trends
1.1.3 livelihoods
1 social, economic, and political settings (s)"
Eleng'ata Dapash,2 related ecosystems eco,0,NA,2 related ecosystems (eco)
Eleng'ata Dapash,2 1 climate patterns,0,NA,2 related ecosystems (eco)
Eleng'ata Dapash,2 1 1 climate change yes,1,statements indicating that the climate has changed (or that change in climate has been perceived),"2.1 climate patterns
2.1.1 climate change
2 related ecosystems (eco)"
Eleng'ata Dapash,2 1 2 climate change no,0,statements indicating that the climate has not changed (or that no change in climate has been perceived),"2.1 climate patterns
2.1.1 climate change
2 related ecosystems (eco)"
Eleng'ata Dapash,2 2 1 climate change positive effects,0,statements indicating that climate change has had positive impacts (as percieved by fgd participants),"2.1 climate patterns
2.1.1 climate change
2 related ecosystems (eco)"
Eleng'ata Dapash,2 2 2 climate change negative effects,1,statements indicating that climate change has had negative impacts (as percieved by fgd participants),"2.1 climate patterns
2.1.1 climate change
2 related ecosystems (eco)"
Eleng'ata Dapash,2 2 3 climate change no effects,0,statements indicating that climate change has not had any impacts (as percieved by fgd participants),"2.1 climate patterns
2.1.1 climate change
2 related ecosystems (eco)"
Eleng'ata Dapash,3 resource systems rs,0,NA,NA
Eleng'ata Dapash,3 1 clarity of system boundaries,0,NA,3 resource systems (rs)
Eleng'ata Dapash,3 1 1 1 commons boundaries very unclear,0,unclear boundaries: the boundaries of a commons are difficult to identify with precision.,"3.1 clarity of system boundaries
3.1.1 commons boundaries
3 resource systems (rs)"
Eleng'ata Dapash,3 1 1 2 commons boundaries somewhat unclear,1,somewhat unclear boundaries: the limits of the commons are physically evident but not in all places. there may be some markers on one side and not in another.,"3.1 clarity of system boundaries
3.1.1 commons boundaries
3 resource systems (rs)"
Eleng'ata Dapash,3 1 1 3 commons boundaries clear,1,clear boundaries: the limits of the commons are physically evident. this includes both natural elements and human-made artifacts that constrain the commons. natural elements would include the biogeophysical limits of a rangeland. human-made artifacts would include fences/beacons that constrain a population.,"3.1 clarity of system boundaries
3.1.1 commons boundaries
3 resource systems (rs)"
Eleng'ata Dapash,3 1 1 4 1 clear boundaries well known by villagers,1,NA,NA
Eleng'ata Dapash,3 1 1 4 2 clear boundaries not well known by villagers,0,NA,NA
Eleng'ata Dapash,3 1 1 5 1 clear boundaries well known by outsiders,1,NA,NA
Eleng'ata Dapash,3 1 1 5 2 clear boundaries not well known by outsiders,1,NA,NA
Eleng'ata Dapash,3 1 2 1 commons boundary negotiability rigid,0,a rigid boundary is one where negotiations to access this environmental commons by non-members are not possible or not fruitful.,"3.1 clarity of system boundaries
3.1.2 commons boundary negotiability
3 resource systems (rs)"
Eleng'ata Dapash,3 1 2 2 commons boundary negotiability moderate,0,"a moderate boundary is when you have access restrictions for outsiders but when proper procedures for acquiring permission to access commons are followed, access is granted by leadership (added definition)","3.1 clarity of system boundaries
3.1.2 commons boundary negotiability
3 resource systems (rs)"
Eleng'ata Dapash,3 1 2 3 commons boundary negotiability negotiable,1,a negotiable boundary is one where ad-hoc negotiations can be and are commonly made by non-members to obtain access to this environmental common. ,"3.1 clarity of system boundaries
3.1.2 commons boundary negotiability
3 resource systems (rs)"
Eleng'ata Dapash,3 2 size of resource system,0,NA,3 resource systems (rs)
Eleng'ata Dapash,3 2 1 commons spatial extent,0,analytical question: what is the approximate spatial extent of this environmental commons (put in terms of square kilometers)?source of data: colin's gis data,"3.2 size of resource system
3.2.1 commons spatial extent
3 resource systems (rs)"
Eleng'ata Dapash,3 2 1 1 village size increased,0,statements indicating that the size (area) of the village has increased since the last census in 2012. ,"3.2 size of resource system
3.2.1 commons spatial extent
3 resource systems (rs)"
Eleng'ata Dapash,3 2 1 2 village size decreased,1,"statements indicating that the size (area) of the village has decreased since the last census in 2012. this can happen when the village splits into two, or if an area that was part of the village is confiscated by the government.","3.2 size of resource system
3.2.1 commons spatial extent
3 resource systems (rs)"
Eleng'ata Dapash,3 2 1 3 village size no change,1,statements indicating that no boundary changes have taken place since 2012.,"3.2 size of resource system
3.2.1 commons spatial extent
3 resource systems (rs)"
Eleng'ata Dapash,3 2 2 1 commons heterogeneity low,0,low: no patches or uniform distribution of a commons over its spatial extent.,"3.2 size of resource system
3.2.2 commons heterogeneity
3 resource systems (rs)"
Eleng'ata Dapash,3 2 2 2 commons heterogeneity moderate,0,moderate: some patches exist over its spatial extent.,"3.2 size of resource system
3.2.2 commons heterogeneity
3 resource systems (rs)"
Eleng'ata Dapash,3 2 2 3 commons heterogeneity high,0,high: multiple clearly defined sub-units can be identified within the commons ,"3.2 size of resource system
3.2.2 commons heterogeneity
3 resource systems (rs)"
Eleng'ata Dapash,3 3 human constructed facilities,0,NA,3 resource systems (rs)
Eleng'ata Dapash,3 3 1 1 infrastructure in rangeland water source dams,0,statements indicating that there are water sources such as dams within the community rangeland.,"3.3 human-constructed facilities
3.3.1 infrastructure
3 resource systems (rs)"
Eleng'ata Dapash,3 3 1 2 infrastructure in rangeland bomas,0,statements indicating that there are bomas within the community rangeland,"3.3 human-constructed facilities
3.3.1 infrastructure
3 resource systems (rs)"
Eleng'ata Dapash,3 3 1 3 infrastructure in rangeland roads,0,statements indicating that there are roads within the community rangeland,"3.3 human-constructed facilities
3.3.1 infrastructure
3 resource systems (rs)"
Eleng'ata Dapash,3 3 1 4 infrastructure in rangeland other,1,statements indicating that there are other infrastructure not specified within the community rangeland,"3.3 human-constructed facilities
3.3.1 infrastructure
3 resource systems (rs)"
Eleng'ata Dapash,3 4 productivity of system,0,NA,3 resource systems (rs)
Eleng'ata Dapash,3 4 1 1 productivity poorly productive,0,NA,"3.4 productivity of system
3.4.1 productivity
3 resource systems (rs)"
Eleng'ata Dapash,3 4 1 2 productivity moderately productive,1,NA,"3.4 productivity of system
3.4.1 productivity
3 resource systems (rs)"
Eleng'ata Dapash,3 4 1 3 productivity very productive,0,NA,"3.4 productivity of system
3.4.1 productivity
3 resource systems (rs)"
Eleng'ata Dapash,3 4 2 1 productivity causes,1,NA,"3.4 productivity of system
3.4.1 productivity
3 resource systems (rs)"
Eleng'ata Dapash,3 5 connectivity,0,NA,3 resource systems (rs)
Eleng'ata Dapash,3 5 1 1 internal ecological connectivity low,0,NA,"3.5 connectivity
3.5.1 internal ecological connectivity
3 resource systems (rs)"
Eleng'ata Dapash,3 5 1 2 internal ecological connectivity medium,0,NA,"3.5 connectivity
3.5.1 internal ecological connectivity
3 resource systems (rs)"
Eleng'ata Dapash,3 5 1 3 internal ecological connectivity high,0,NA,"3.5 connectivity
3.5.1 internal ecological connectivity
3 resource systems (rs)"
Eleng'ata Dapash,3 5 2 1 external ecological connectivity low,0,NA,"3.5 connectivity
3.5.2 external ecological connectivity
3 resource systems (rs)"
Eleng'ata Dapash,3 5 2 2 external ecological connectivity medium,0,NA,"3.5 connectivity
3.5.2 external ecological connectivity
3 resource systems (rs)"
Eleng'ata Dapash,3 5 2 3 external ecological connectivity high,0,NA,"3.5 connectivity
3.5.2 external ecological connectivity
3 resource systems (rs)"
Eleng'ata Dapash,4 governance systems gs,0,NA,NA
Eleng'ata Dapash,4 1 network structure,0,"analytical question: collect information on ngo's operating in each village and their rangeland related activititessource of data: fgd, vlg, grazing related committee",4 governance systems (gs)
Eleng'ata Dapash,4 1 1 external support no support,0,no external support indicates that there are no organizations providing support to help manage the community rangeland.,"4.1 network structure
4.2.1 external support
4 governance systems (gs)"
Eleng'ata Dapash,4 1 2 external support some support,1,"some external support indicates that there are organizations providing support to help manage the community rangeland but their support is not reliable (e.g., training or skills not provided adequately, projects have been carried out only briefly with short-term impacts, etc.)","4.1 network structure
4.2.1 external support
4 governance systems (gs)"
Eleng'ata Dapash,4 1 3 external support extensive support,1,"extensive external support indicates that there are organizations providing support to help manage the community rangeland and their support is reliable (e.g., training or skills have been provided adequately, projects have been carried out long enough and thus have had long term impacts, etc.)","4.1 network structure
4.2.1 external support
4 governance systems (gs)"
Eleng'ata Dapash,4 2 ngos,0,NA,NA
Eleng'ata Dapash,4 2 1 ngos tpp,0,ngo providing village support is called tpp,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 10 ngos child rich,0,NA,NA
Eleng'ata Dapash,4 2 10 ngos mwedo,0,NA,NA
Eleng'ata Dapash,4 2 2 ngos tpw,0,ngo providing village support is called tpw,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 3 ngos world vision,1,ngo providing village support is called world vision,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 4 ngos ucrt,0,ngo providing village support is called ucrt,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 5 ngos aspa,0,ngo providing village support is called aspa,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 6 ngos pathfinder international,0,ngo providing village support is called pathfinder international,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 7 ngos pwc,0,ngo providing village support is called pwc,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 8 ngos heifer international,0,NA,NA
Eleng'ata Dapash,4 2 8 1 ngos provide rangeland support yes,1,ngo mentioned provided rangeland management support,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 8 2 ngos provide rangeland support no,1,ngo mentioned provided other support not related to rangeland management (the support may still be indirectly related to rangeland management).,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 ngos oikos,0,NA,NA
Eleng'ata Dapash,4 2 9 1 ngos support over 5yrs yes,1,the ngo mentioned has been providing support for over 5 years,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 2 ngos support over 5yrs no,0,the ngo mentioned has been providing support for a few years only (less than 5 years),"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 3 1 ngos support effectiveness very good,1,the effectivenvess of the support provided by the ngo is perceived by fgd participants as very good or excellent,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 3 2 ngos support effectiveness average,1,the effectivenvess of the support provided by the ngo is perceived by fgd participants as average,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 3 3 ngos support effectiveness poor,1,the effectivenvess of the support provided by the ngo is perceived by fgd participants as poor,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 4 1 ngos support benefits yes,1,fgd participants perceive benefits from the support provided by the ngo,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 4 2 ngos support benefits no,0,fgd participants do not perceive benefits from the support provided by the ngo,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 5 1 ngos support benefits for men,1,statements indicating the types of benefits that are only perceived by men,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 5 2 ngos support benefits for women,1,statements indicating the types of benefits that are only perceived by women,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 2 9 5 3 ngos support benefit types,1,statements indicating the specific types of benefits of benefits perceived by participants.,"4.2.2 ngos
4 governance systems (gs)"
Eleng'ata Dapash,4 3 property rights systems,0,NA,4 governance systems (gs)
Eleng'ata Dapash,4 3 1 1 property security low,0,"low: low property security means that there is either a very poor common understanding of what aspects of a commons are owned, or that despite this understanding, the rules associated with these rights are not complied with by outsiders (including nearby/far villages or external authorities)..","4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 3 1 2 property security medium,1,"medium: medium property security means that there is a strong common understanding of what aspects of a commons are owned, but the rules associated with these rights are not complied with by outsiders (including nearby/far villages or external authorities).","4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 3 1 3 property security high,1,"high : high property security means that there is a strong common understanding of what aspects of a commons are owned, and that the rules associated with these rights are complied with.","4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 3 2 1 ccro no,1,"does the village have a customary rights of occupancy (ccro) mainly for the village rangelands or other village certificates that ensures property security?no: the village does not have a customary rights of occupancy (ccro) for any village rangelands (or entire village).source of data: grazing committee, men and women fgd, vlg","4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 3 2 2 ccro yes some,0,"does the village have a customary rights of occupancy (ccro) mainly for the village rangelands or other village certificates that ensures property security?yes, some: the village has a customary rights of occupancy (ccro) for some of the village rangelands but not all.","4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 3 2 3 ccro yes all,0,"does the village have a customary rights of occupancy (ccro) mainly for the village rangelands or other village certificates that ensures property security?yes, all: the village has a customary rights of occupancy (ccro) for each of the village rangelands (or entire village).","4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 3 2 4 other certificates owned,1,statements indicate that the village has other types of village certificates (apart from or in addition to the ccro),"4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 3 2 4 1 contribution of ccro,0,statements indicate how much contribution the ccro has had on management of the village rangelands.,"4.3 property-rights systems
4.3.1 property security
4 governance systems (gs)"
Eleng'ata Dapash,4 4 operational choice rules,0,NA,4 governance systems (gs)
Eleng'ata Dapash,4 4 1 1 grazing rules yes,1,"rules can be about when and where to graze in the village rangeland. rules can also be about who is allowed or not allowed to conduct activities in the village rangeland. further, rules can be about what activities are permitted in the rangeland.""yes"" means statements indciate that there are such rules","4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 2 grazing rules no,0,"rules can be about when and where to graze in the village rangeland. rules can also be about who is allowed or not allowed to conduct activities in the village rangeland. further, rules can be about what activities are permitted in the rangeland.""no"" means statements indciate that there are no such rules","4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 3 1 grazing rules very effective,1,statements indicate that the grazing rules in place are adhered to by all community members.,"4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 3 2 grazing rules somewhat effective,0,statements indicate that the grazing rules in place are adhered to by only some community members.,"4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 3 3 grazing rules not effective,0,statements indicate that the grazing rules in place are not adhered to by community members.,"4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 4 1 grazing rules people aware most all,1,statements indicate that most or all people are aware about the grazing rules put in place.,"4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 4 2 grazing rules people aware none few,1,statements indicate that only a few or no one in the community is aware of the grazing rules put in place.,"4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 5 1 grazing rules learn seminars,0,statements indicate that people learn about grazing rules through seminars,"4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 1 5 2 grazing rules learn village assemblies,1,statements indicate that people learn about grazing rules through village assimblies,"4.4 operational-choice rules
4.4.1 grazing rules
4 governance systems (gs)"
Eleng'ata Dapash,4 4 2 1 governance strictness trend less strict,0,less strict: this could include reduced enforcement and/or a reduction in the application of sanctions.,"4.4 operational-choice rules
4.4.2 governance strictness trend
4 governance systems (gs)"
Eleng'ata Dapash,4 4 2 2 governance strictness trend no change,1,no change: there has been no change in the governance,"4.4 operational-choice rules
4.4.2 governance strictness trend
4 governance systems (gs)"
Eleng'ata Dapash,4 4 2 3 governance strictness trend more strict,1,more strict: this could include enhanced enforcement and/or increased application of sanctions.,"4.4 operational-choice rules
4.4.2 governance strictness trend
4 governance systems (gs)"
Eleng'ata Dapash,4 5 collective choice rules,0,NA,4 governance systems (gs)
Eleng'ata Dapash,4 5 1 1 external recognition low no recognition,0,"1 low - no recognition: there is no autonomy in decision-making regarding rangeland management as the ward, division, district or or other higher authority always interfere with the village's decisions.","4.5 collective-choice rules
4.5.1 external recognition
4 governance systems (gs)"
Eleng'ata Dapash,4 5 1 2 external recognition moderate some recognition,1,"2 moderate - some recognition: there is some level of autonomy in decision-making regarding rangeland management as the ward, division, district or or other higher authority interfere with the village's decisions but only to some extent.","4.5 collective-choice rules
4.5.1 external recognition
4 governance systems (gs)"
Eleng'ata Dapash,4 5 1 3 external recognition high complete recognition,0,"3 high - complete recognition: there is autonomy in decision-making regarding rangeland management as the ward, division, district or or other higher authority never interfere with the village's decisions.","4.5 collective-choice rules
4.5.1 external recognition
4 governance systems (gs)"
Eleng'ata Dapash,4 5 1 4 1 external recognition decisions interfered,1,types of rangeland management decisions interred by higher authorities,"4.5 collective-choice rules
4.5.1 external recognition
4 governance systems (gs)"
Eleng'ata Dapash,4 5 1 4 2 external recognition decisions not interfered,1,types of rangeland management decisions not interred by higher authorities,"4.5 collective-choice rules
4.5.1 external recognition
4 governance systems (gs)"
Eleng'ata Dapash,4 5 2 1 flexible rights yes,0,statements indicate that rights on where to graze may change depending on distribution of resources on the landscape over time or by seasons.,"4.5 collective-choice rules
4.5.2 flexible rights
4 governance systems (gs)"
Eleng'ata Dapash,4 5 2 2 flexible rights no,0,statements indicate that rights on where to graze do not change depending on distribution of resources on the landscape over time or by seasons.,"4.5 collective-choice rules
4.5.2 flexible rights
4 governance systems (gs)"
Eleng'ata Dapash,4 5 3 1 participation in rule making low,0,"low: low participation means that members of the user group do not have any ability to participate in rule changing processes (although they may be informed of these processes, or have access to extreme ways of changing rules, such as, e.g. violent protests or acts of resistance of the type described by scott (1985)).","4.5 collective-choice rules
4.5.3 participation in rule making
4 governance systems (gs)"
Eleng'ata Dapash,4 5 3 2 participation in rule making medium,0,"medium: for example, the user group may participate in electing representatives who have some say in rule changing, but the user group itself does not participate. ","4.5 collective-choice rules
4.5.3 participation in rule making
4 governance systems (gs)"
Eleng'ata Dapash,4 5 3 3 participation in rule making high,1,"high: users have active engagement in decision-making processes, including, but not limited to the ability to meaningfully make changes in important rules when appropriate. ","4.5 collective-choice rules
4.5.3 participation in rule making
4 governance systems (gs)"
Eleng'ata Dapash,4 5 3 3 1 participation in rule making leaders,1,typpes of people who participate in rule-making: leaders,"4.5 collective-choice rules
4.5.3 participation in rule making
4 governance systems (gs)"
Eleng'ata Dapash,4 5 3 3 2 participation in rule making famous elders,1,typpes of people who participate in rule-making: famous people or village elders such as laigwanani,"4.5 collective-choice rules
4.5.3 participation in rule making
4 governance systems (gs)"
Eleng'ata Dapash,4 5 3 3 3 participation in rule making professionals,1,typpes of people who participate in rule-making: individuals with some profession,"4.5 collective-choice rules
4.5.3 participation in rule making
4 governance systems (gs)"
Eleng'ata Dapash,4 5 3 3 4 participation in rule making men,1,typpes of people who participate in rule-making: men,"4.5 collective-choice rules
4.5.3 participation in rule making
4 governance systems (gs)"
