village,dimension,score
ngoswaki,gs7.3.external.sanctions,1
ngoswaki,a4.1.leadership.accountability,2
ngoswaki,a4.2.leadership.authority,2
ngoswaki,a5.1.actor.group.trust,3
ngoswaki,a5.2.inter-group.trust,3
ngoswaki,i1.1.conflict.resolution,2
ngoswaki,o1.1.compliance,3
ngoswaki,o2.1.invasives,3
matale a,rs2.1.commons.boundaries,3
matale a,rs2.2.commons.boundary.negotiability,3
matale a,gs2.1.external.support,2
matale a,gs3.2.property.security,3
matale a,gs4.1.rules-in-use,2
matale a,gs4.2.governance.strictness.trend,3
matale a,gs5.1.external.recognition,3
matale a,gs5.3.participation.in.rule.making,3
matale a,gs5.4.participation.in.zoning,3
matale a,gs6.1.actor.group.boundary.clarity,2
matale a,gs6.2.outsider.exclusion,2
matale a,gs7.1.environmental.monitoring,3
matale a,gs7.2.self.sanctions,2
matale a,gs7.3.external.sanctions,1
matale a,a4.1.leadership.accountability,3
matale a,a4.2.leadership.authority,2
matale a,a5.1.actor.group.trust,3
matale a,a5.2.inter-group.trust,3
matale a,i1.1.conflict.resolution,2
matale a,o1.1.compliance,3
matale a,o2.1.invasives,3
engaruka juu,rs2.1.commons.boundaries,3
engaruka juu,rs2.2.commons.boundary.negotiability,3
engaruka juu,gs2.1.external.support,3
engaruka juu,gs3.2.property.security,2
engaruka juu,gs4.1.rules-in-use,2
engaruka juu,gs4.2.governance.strictness.trend,3
engaruka juu,gs5.1.external.recognition,3
engaruka juu,gs5.3.participation.in.rule.making,3
engaruka juu,gs5.4.participation.in.zoning,3
engaruka juu,gs6.1.actor.group.boundary.clarity,2
engaruka juu,gs6.2.outsider.exclusion,1
engaruka juu,gs7.1.environmental.monitoring,3
engaruka juu,gs7.2.self.sanctions,2
engaruka juu,gs7.3.external.sanctions,1
engaruka juu,a4.1.leadership.accountability,2
engaruka juu,a4.2.leadership.authority,2
engaruka juu,a5.1.actor.group.trust,3
engaruka juu,a5.2.inter-group.trust,3
engaruka juu,i1.1.conflict.resolution,2
engaruka juu,o1.1.compliance,3
engaruka juu,o2.1.invasives,1
kitwai a,rs2.1.commons.boundaries,3
kitwai a,rs2.2.commons.boundary.negotiability,3
kitwai a,gs2.1.external.support,2
kitwai a,gs3.2.property.security,3
kitwai a,gs4.1.rules-in-use,2
kitwai a,gs4.2.governance.strictness.trend,3
kitwai a,gs5.1.external.recognition,2
kitwai a,gs5.3.participation.in.rule.making,3
kitwai a,gs5.4.participation.in.zoning,3
kitwai a,gs6.1.actor.group.boundary.clarity,2
kitwai a,gs6.2.outsider.exclusion,2
kitwai a,gs7.1.environmental.monitoring,2
kitwai a,gs7.2.self.sanctions,2
kitwai a,gs7.3.external.sanctions,1
kitwai a,a4.1.leadership.accountability,3
kitwai a,a4.2.leadership.authority,2
kitwai a,a5.1.actor.group.trust,3
kitwai a,a5.2.inter-group.trust,2
kitwai a,i1.1.conflict.resolution,2
kitwai a,o1.1.compliance,3
kitwai a,o2.1.invasives,3
